,0,1,2,3,4,5,6,7
4,chp (fossil + renewable) billion $ ,2.1,7.9,7.7,10.1,27.9,billion $/a,0.7
5,renewables (w/o chp) billion $ ,78.0,129.6,189.2,262.0,658.9,billion $/a,16.9
6,total billion $ ,173.8,236.5,349.7,429.5,"1,189.4",billion $/a,30.5
7,conventional (fossil & nuclear) billion $ ,95.5,105.5,158.8,164.7,524.5,billion $/a,13.4
8,renewables billion $ ,78.3,131.0,190.9,264.7,664.9,billion $/a,17.0
9,biomass billion $ ,3.9,7.7,11.1,17.4,40.1,billion $/a,1.0
10,hydro billion $ ,39.5,62.2,73.1,91.7,266.4,billion $/a,6.8
11,wind billion $ ,6.3,10.6,17.1,26.3,60.3,billion $/a,1.5
12,pv billion $ ,11.9,19.3,26.1,34.2,91.5,billion $/a,2.3
13,geothermal billion $ ,11.7,18.4,32.5,52.5,115.0,billion $/a,2.9
14,solar thermal power plants billion $ ,5.1,12.8,30.9,42.7,91.5,billion $/a,2.3
15,ocean energy billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
16,fossil (w/o chp) billion $ ,61.1,25.3,49.8,34.0,170.2,billion $/a,4.4
17,nuclear billion $ ,1.0,0.0,0.0,0.0,1.0,billion $/a,0.0
18,chp (fossil + renewable) billion $ ,8.5,66.3,24.7,39.0,138.5,billion $/a,3.6
19,renewables (w/o chp) billion $ ,157.5,585.9,"1,011.6","1,349.9","3,104.9",billion $/a,79.6
20,total billion $ ,228.0,677.5,"1,086.1","1,422.9","3,414.5",billion $/a,87.6
21,conventional (fossil & nuclear) billion $ ,67.5,72.9,67.4,53.8,261.7,billion $/a,6.7
22,renewables billion $ ,160.6,604.6,"1,018.7","1,369.0","3,152.9",billion $/a,80.8
23,biomass billion $ ,8.7,19.8,12.9,22.9,64.3,billion $/a,1.6
24,hydro billion $ ,30.3,24.4,23.3,23.2,101.2,billion $/a,2.6
25,wind billion $ ,32.7,161.9,258.0,339.9,792.5,billion $/a,20.3
26,pv billion $ ,48.1,194.5,279.5,308.3,830.4,billion $/a,21.3
27,geothermal billion $ ,11.6,60.6,58.6,76.4,207.3,billion $/a,5.3
28,solar thermal power plants billion $ ,29.2,98.9,330.3,533.2,991.5,billion $/a,25.4
29,ocean energy billion $ ,0.0,44.6,56.1,65.0,165.7,billion $/a,4.2
30,fossil (w/o chp) billion $ ,57.0,16.2,70.9,64.4,208.4,billion $/a,5.3
31,nuclear billion $ ,1.0,0.0,0.0,0.0,1.0,billion $/a,0.0
32,chp (fossil + renewable) billion $ ,8.5,66.3,23.0,38.0,135.8,billion $/a,3.5
33,renewables (w/o chp) billion $ ,175.1,779.1,"1,624.7","1,968.7","4,547.6",billion $/a,116.6
34,total billion $ ,241.5,861.6,"1,718.5","2,071.1","4,892.8",billion $/a,125.5
35,conventional (fossil & nuclear) billion $ ,63.3,63.8,83.3,78.5,288.9,billion $/a,7.4
36,renewables billion $ ,178.2,797.8,"1,635.2","1,992.6","4,603.8",billion $/a,118.0
37,biomass billion $ ,11.0,22.1,23.1,37.2,93.4,billion $/a,2.4
38,hydro billion $ ,30.3,24.4,23.3,23.2,101.2,billion $/a,2.6
39,wind billion $ ,41.7,191.5,420.1,505.6,"1,158.9",billion $/a,29.7
40,pv billion $ ,54.5,283.4,387.5,363.8,"1,089.2",billion $/a,27.9
41,geothermal billion $ ,11.6,60.6,57.6,73.2,203.1,billion $/a,5.2
42,solar thermal power plants billion $ ,29.2,171.1,602.9,876.8,"1,680.0",billion $/a,43.1
43,ocean energy billion $ ,0.0,44.6,120.7,112.8,278.0,billion $/a,7.1
0,table 13.5.23: africa: investments in renewable heat generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,heat pumps billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
3,deep geothermal billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
4,solar thermal billion $ ,1.0,2.0,4.4,6.2,13.6,billion $/a,0.3
5,biomass billion $ ,302.6,281.0,58.5,55.7,697.9,billion $/a,17.9
6,total billion $ ,303.6,283.0,62.8,62.0,711.4,billion $/a,18.2
7,heat pumps billion $ ,0.8,21.3,50.9,87.8,160.9,billion $/a,4.1
8,deep geothermal billion $ ,5.5,13.3,13.6,20.4,52.9,billion $/a,1.4
9,solar thermal billion $ ,2.9,38.6,66.6,98.7,206.9,billion $/a,5.3
10,bomass billion $ ,137.7,22.8,13.4,13.2,187.1,billion $/a,4.8
11,total billion $ ,147.0,96.1,144.6,220.1,607.7,billion $/a,15.6
12,heat pumps billion $ ,0.8,21.3,50.8,86.9,159.9,billion $/a,4.1
13,deep geothermal billion $ ,5.5,13.3,13.5,19.5,51.9,billion $/a,1.3
14,solar thermal billion $ ,2.9,38.6,66.3,96.3,204.2,billion $/a,5.2
15,biomass billion $ ,137.7,22.8,13.1,11.6,185.2,billion $/a,4.7
16,total billion $ ,147.0,96.1,143.8,214.3,601.1,billion $/a,15.4
0,table 13.5.24: africa total employment in the energy sector thousand jobs,2015,2020,2025,2030,2020,2025,2030
1,construction and installation,366,442,422,455,937,"1,825","2,150"
2,manufacturing,161,179,176,197,221,534,832
3,operations and maintenance,235,308,384,413,453,787,"1,213"
4,fuel supply (domestic) ,"6,315","6,930","7,313","7,668","6,174","5,900","5,298"
5,coal and gas export,39.6,46.5,53.2,59.8,25.4,17.9,10.5
6,solar and geothermal heat,18.9,18.9,35.2,30,106,404,"1,025"
7,total jobs (thousands) ,"7,134","7,925","8,383","8,823","7,918","9,468","10,528"
8,coal,376,391,391,420,111,79,42
9,"gas, oil & diesel",223,247,263,278,171,183,169
10,nuclear,16,23,27,29,8,9,8
11,renewable ,"6,521","7,264","7,702","8,096","7,628","9,197","10,309"
12,biomass ,"6,244","6,871","7,254","7,601","6,228","5,994","5,408"
13,hydro,158,209,216,229,98,99,86
14,wind,19,28,36,42,295,588,"1,005"
15,pv,66,109,126,138,751,"1,709","2,058"
16,geothermal power,6.9,10.1,10.7,15.1,17,37,36
17,solar thermal power,8.1,17.4,24.1,42.3,89,294,609
18,ocean,-,-,-,,43,71,82
19,solar - heat,18.9,18.9,35.2,30,80,351,932
20,geothermal & heat pump,0.0,-,-,,26.4,53.0,93
21,total jobs (thousands) ,"7,134","7,925","8,383","8,823","7,918","9,468","10,528"
0,table 13.6.22: middle east: investments in electricity generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,fossil (w/o chp) billion $ ,99.3,94.2,155.5,144.7,493.8,billion $/a,12.7
3,nuclear billion $ ,10.4,17.7,7.2,8.6,43.9,billion $/a,1.1
4,chp (fossil + renewable) billion $ ,0.5,3.3,2.8,3.9,10.4,billion $/a,0.3
5,renewables (w/o chp) billion $ ,40.0,58.5,80.2,108.1,286.9,billion $/a,7.4
6,total billion $ ,150.2,173.7,245.7,265.3,834.9,billion $/a,21.4
7,conventional (fossil & nuclear) billion $ ,110.2,114.9,165.2,156.6,547.0,billion $/a,14.0
8,renewables billion $ ,40.1,58.7,80.5,108.7,288.0,billion $/a,7.4
9,biomass billion $ ,0.9,2.0,5.0,9.0,17.0,billion $/a,0.4
10,hydro billion $ ,21.8,22.6,17.7,20.8,82.8,billion $/a,2.1
11,wind billion $ ,1.6,6.5,22.8,47.8,78.7,billion $/a,2.0
12,pv billion $ ,4.8,8.7,12.8,17.4,43.8,billion $/a,1.1
13,geothermal billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
14,solar thermal power plants billion $ ,10.9,19.0,22.1,13.7,65.7,billion $/a,1.7
15,ocean energy billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
16,fossil (w/o chp) billion $ ,67.5,21.7,99.6,40.2,229.0,billion $/a,5.9
17,nuclear billion $ ,5.1,0.0,0.0,0.0,5.1,billion $/a,0.1
18,chp (fossil + renewable) billion $ ,8.9,5.6,12.3,9.2,36.0,billion $/a,0.9
19,renewables (w/o chp) billion $ ,183.9,815.1,919.9,"1,218.0","3,137.0",billion $/a,80.4
20,total billion $ ,265.4,842.4,"1,031.8","1,267.4","3,407.1",billion $/a,87.4
21,conventional (fossil & nuclear) billion $ ,77.6,23.6,102.8,42.1,246.0,billion $/a,6.3
22,renewables billion $ ,187.8,818.8,929.1,"1,225.3","3,161.1",billion $/a,81.1
23,biomass billion $ ,5.1,6.4,9.8,10.3,31.5,billion $/a,0.8
24,hydro billion $ ,21.8,22.6,17.7,20.8,82.8,billion $/a,2.1
25,wind billion $ ,25.1,108.8,99.9,190.2,424.1,billion $/a,10.9
26,pv billion $ ,59.4,152.4,249.8,316.6,778.2,billion $/a,20.0
27,geothermal billion $ ,0.6,36.8,36.9,5.1,79.4,billion $/a,2.0
28,solar thermal power plants billion $ ,66.6,462.1,479.0,645.5,"1,653.2",billion $/a,42.4
29,ocean energy billion $ ,9.2,29.7,36.0,36.8,111.8,billion $/a,2.9
30,fossil (w/o chp) billion $ ,66.0,33.1,93.4,0.0,192.5,billion $/a,4.9
31,nuclear billion $ ,5.1,0.0,0.0,0.0,5.1,billion $/a,0.1
32,chp (fossil + renewable) billion $ ,8.9,5.6,12.3,9.2,36.0,billion $/a,0.9
33,renewables (w/o chp) billion $ ,205.1,"1,071.5","1,408.5","1,787.4","4,472.5",billion $/a,114.7
34,total billion $ ,285.1,"1,110.3","1,514.1","1,796.6","4,706.2",billion $/a,120.7
35,conventional (fossil & nuclear) billion $ ,76.1,35.1,96.5,1.9,209.6,billion $/a,5.4
36,renewables billion $ ,209.1,"1,075.2","1,417.6","1,794.7","4,496.6",billion $/a,115.3
37,biomass billion $ ,5.1,6.4,9.2,9.5,30.1,billion $/a,0.8
38,hydro billion $ ,21.8,22.4,17.7,20.8,82.7,billion $/a,2.1
39,wind billion $ ,32.3,140.1,225.0,217.7,615.1,billion $/a,15.8
40,pv billion $ ,59.4,244.9,262.7,358.4,925.4,billion $/a,23.7
41,geothermal billion $ ,14.7,29.6,36.9,48.2,129.4,billion $/a,3.3
42,solar thermal power plants billion $ ,66.6,602.1,787.5,"1,085.3","2,541.4",billion $/a,65.2
43,ocean energy billion $ ,9.2,29.7,78.6,54.9,172.5,billion $/a,4.4
0,table 13.6.23: middle east: investments in renewable heat generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,heat pumps billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
3,deep geothermal billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
4,solar thermal billion $ ,0.7,1.0,1.7,2.4,5.8,billion $/a,0.1
5,biomass billion $ ,7.1,11.6,15.6,21.0,55.3,billion $/a,1.4
6,total billion $ ,7.8,12.6,17.4,23.4,61.2,billion $/a,1.6
7,heat pumps billion $ ,13.3,15.1,45.2,82.8,156.4,billion $/a,4.0
8,deep geothermal billion $ ,24.3,14.4,28.7,33.8,101.2,billion $/a,2.6
9,solar thermal billion $ ,16.3,37.5,49.7,27.5,131.0,billion $/a,3.4
10,bomass billion $ ,13.6,5.9,14.5,10.5,44.5,billion $/a,1.1
11,total billion $ ,67.5,72.9,138.1,154.6,433.1,billion $/a,11.1
12,heat pumps billion $ ,13.3,15.1,45.2,82.8,156.4,billion $/a,4.0
13,deep geothermal billion $ ,24.3,14.4,28.7,33.8,101.2,billion $/a,2.6
14,solar thermal billion $ ,16.3,37.5,49.7,67.3,170.9,billion $/a,4.4
15,biomass billion $ ,13.6,5.9,14.5,10.5,44.5,billion $/a,1.1
16,total billion $ ,67.5,72.9,138.1,194.5,473.0,billion $/a,12.1
0,table 13.6.24: middle east: total employment in the energy sector thousand jobs,2015,2020,2025,2030,2020,2025,2030
1,construction and installation,36,41,38,32,211,371,336
2,manufacturing,17,17,16,12,46,72,67
3,operations and maintenance,63,76,85,87,110,181,284
4,fuel supply (domestic),338,384,422,436,360,335,293
5,coal and gas export,57.5,58.7,64.9,66.3,61.2,45.9,30.6
6,solar and geothermal heat,5,5,7,5,105,107,105
7,total jobs (thousands),516,581,632,638,894,"1,112","1,116"
8,coal,3,2,2,2,1,1,1
9,"gas, oil & diesel",473,523,563,564,451,394,317
10,nuclear,8,11,10,9,0,0,0
11,renewable,31,45,56,63,442,716,797
12,biomass,5,9,14,19,36,51,54
13,hydro,12,13,14,11,19,9,11
14,wind,0.9,2.6,3.8,8.3,54,77,104
15,pv,5.7,10,11.6,13.8,159,316,287
16,geothermal power,0.0,0.0,0.0,0.0,4.7,4.4,6
17,solar thermal power,2.4,4.4,5.6,5.9,53,146,214
18,ocean,-,-,-,,12,6,17
19,solar - heat,5,5,6.7,5.4,69,93,92
20,geothermal & heat pump,0.0,-,-,,36,14,13
21,total jobs (thousands),516,581,632,638,894,"1,112","1,116"
0,table 13.7.22: eastern europe/eurasia: investments in electricity generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,fossil (w/o chp) billion $ ,36.6,57.4,75.5,135.5,305.1,billion $/a,7.8
3,nuclear billion $ ,52.2,70.4,39.3,55.8,217.8,billion $/a,5.6
4,chp (fossil + renewable) billion $ ,166.0,101.1,43.7,7.5,318.3,billion $/a,8.2
5,renewables (w/o chp) billion $ ,86.5,96.9,126.3,130.6,440.3,billion $/a,11.3
6,total billion $ ,341.3,325.8,284.8,329.5,"1,281.5",billion $/a,32.9
7,conventional (fossil & nuclear) billion $ ,254.4,228.1,157.5,198.1,838.1,billion $/a,21.5
8,renewables billion $ ,86.9,97.8,127.3,131.4,443.4,billion $/a,11.4
9,biomass billion $ ,5.9,5.3,14.0,13.5,38.7,billion $/a,1.0
10,hydro billion $ ,60.4,75.1,80.0,87.8,303.2,billion $/a,7.8
11,wind billion $ ,9.4,9.8,22.5,20.2,61.9,billion $/a,1.6
12,pv billion $ ,6.8,2.2,5.9,2.5,17.4,billion $/a,0.4
13,geothermal billion $ ,4.4,5.4,4.9,7.4,22.2,billion $/a,0.6
14,solar thermal power plants billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
15,ocean energy billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
16,fossil (w/o chp) billion $ ,29.6,15.1,29.5,25.0,99.3,billion $/a,2.5
17,nuclear billion $ ,23.3,0.0,0.0,0.0,23.3,billion $/a,0.6
18,chp (fossil + renewable) billion $ ,175.8,172.9,231.9,246.0,826.7,billion $/a,21.2
19,renewables (w/o chp) billion $ ,114.0,529.1,653.4,749.3,"2,045.8",billion $/a,52.5
20,total billion $ ,342.7,717.2,914.8,"1,020.3","2,995.0",billion $/a,76.8
21,conventional (fossil & nuclear) billion $ ,193.8,79.9,56.6,26.5,356.9,billion $/a,9.2
22,renewables billion $ ,148.9,637.3,858.1,993.8,"2,638.1",billion $/a,67.6
23,biomass billion $ ,46.0,70.8,134.1,153.0,403.9,billion $/a,10.4
24,hydro billion $ ,60.4,69.3,53.9,52.3,235.8,billion $/a,6.0
25,wind billion $ ,25.2,279.9,343.1,475.0,"1,123.2",billion $/a,28.8
26,pv billion $ ,11.4,130.9,148.9,153.6,444.8,billion $/a,11.4
27,geothermal billion $ ,5.9,68.8,127.9,128.2,330.8,billion $/a,8.5
28,solar thermal power plants billion $ ,0.0,5.9,21.3,13.9,41.1,billion $/a,1.1
29,ocean energy billion $ ,0.0,11.7,28.9,17.9,58.4,billion $/a,1.5
30,fossil (w/o chp) billion $ ,32.5,11.6,60.6,28.4,133.1,billion $/a,3.4
31,nuclear billion $ ,23.3,0.0,0.0,0.0,23.3,billion $/a,0.6
32,chp (fossil + renewable) billion $ ,175.8,172.8,231.3,285.1,865.0,billion $/a,22.2
33,renewables (w/o chp) billion $ ,114.5,781.5,"1,071.9","1,425.5","3,393.4",billion $/a,87.0
34,total billion $ ,346.2,965.9,"1,363.8","1,738.9","4,414.8",billion $/a,113.2
35,conventional (fossil & nuclear) billion $ ,196.7,76.4,86.6,28.4,388.1,billion $/a,10.0
36,renewables billion $ ,149.4,889.6,"1,277.2","1,710.5","4,026.7",billion $/a,103.2
37,biomass billion $ ,46.0,70.8,134.1,163.1,414.0,billion $/a,10.6
38,hydro billion $ ,60.4,69.3,53.9,52.3,235.8,billion $/a,6.0
39,wind billion $ ,25.8,424.8,552.3,916.2,"1,919.0",billion $/a,49.2
40,pv billion $ ,11.4,195.8,253.8,278.1,739.1,billion $/a,19.0
41,geothermal billion $ ,5.9,101.9,204.6,264.8,577.2,billion $/a,14.8
42,solar thermal power plants billion $ ,0.0,10.8,37.5,13.1,61.4,billion $/a,1.6
43,ocean energy billion $ ,0.0,16.2,41.1,23.0,80.2,billion $/a,2.1
0,table 13.7.23: eastern europe/eurasia: investments in renewable heat generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,heat pumps billion $ ,1.5,1.9,1.1,1.5,5.9,billion $/a,0.2
2,deep geothermal billion $ ,0.0,0.0,0.0,0.0,0.1,billion $/a,0.0
3,solar thermal billion $ ,0.6,0.7,0.7,0.7,2.7,billion $/a,0.1
4,biomass billion $ ,91.8,55.8,64.0,32.3,243.9,billion $/a,6.3
5,total billion $ ,93.9,58.3,65.8,34.6,252.6,billion $/a,6.5
6,heat pumps billion $ ,13.5,118.3,234.9,201.8,568.5,billion $/a,14.6
7,deep geothermal billion $ ,2.5,17.9,202.6,157.4,380.5,billion $/a,9.8
8,solar thermal billion $ ,10.5,123.5,182.0,131.1,447.1,billion $/a,11.5
9,bomass billion $ ,125.6,119.3,112.4,39.3,396.7,billion $/a,10.2
10,total billion $ ,152.2,378.9,731.9,529.7,"1,792.7",billion $/a,46.0
11,heat pumps billion $ ,13.5,118.3,265.3,243.5,640.6,billion $/a,16.4
12,deep geothermal billion $ ,2.5,17.9,201.9,166.1,388.5,billion $/a,10.0
13,solar thermal billion $ ,10.5,123.5,181.6,133.0,448.6,billion $/a,11.5
14,biomass billion $ ,125.6,119.3,112.1,20.6,377.6,billion $/a,9.7
15,total billion $ ,152.2,378.9,760.9,563.3,"1,855.3",billion $/a,47.6
0,table 13.7.24: eastern europe/eurasia total employment in the energy sector thousand jobs,2015,2020,2025,2030,2020,2025,2030
1,construction and installation,88,104,83,81,324,685,677
2,manufacturing,32,40,37,42,140,364,378
3,operations and maintenance,318,336,340,319,403,557,707
4,fuel supply (domestic) ,"1,047",838,754,707,886,844,779
5,coal and gas export ,234.9,288.1,311.7,334.3,157.7,142.5,138.6
6,solar and geothermal heat,1,2,2,2,92,437,601
7,total jobs (thousands) ,"1,720","1,609","1,527","1,485","2,003","3,030","3,281"
8,coal,752,586,465,407,356,173,55
9,"gas, oil & diesel",631,657,701,736,646,642,635
10,nuclear,104,115,101,83,70,71,68
11,renewable,234,250,260,258,930,"2,144","2,523"
12,biomass,110,126,134,137,393,562,643
13,hydro,93,94,93,89,94,81,63
14,wind,12,15.4,17.6,20.6,197,553,568
15,pv,17.0,11.8,11.0,8.9,142,470,575
16,geothermal power,1.0,1.4,1.4,1.2,7,25,38
17,solar thermal power,-,-,-,,1.4,4.9,12.3
18,ocean,-,-,-,0.13,4,10.8,22.6
19,solar - heat,0.7,1.2,1.2,1.0,61,282,387
20,geothermal & heat pump,0.4,0.8,0.8,0.6,31,155,214
21,total jobs (thousands) ,"1,720","1,609","1,527","1,485","2,003","3,030","3,281"
0,table 13.8.22: india: investments in electricity generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,fossil (w/o chp) billion $ ,215.3,354.3,418.6,487.1,"1,475.3",billion $/a,37.8
3,nuclear billion $ ,18.5,37.8,44.6,51.0,151.9,billion $/a,3.9
4,chp (fossil + renewable) billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
5,renewables (w/o chp) billion $ ,109.8,153.0,181.7,187.3,631.7,billion $/a,16.2
6,total billion $ ,343.6,545.1,644.9,725.4,"2,259.0",billion $/a,57.9
7,conventional (fossil & nuclear) billion $ ,233.8,392.1,463.2,538.1,"1,627.3",billion $/a,41.7
8,renewables billion $ ,109.8,153.0,181.7,187.3,631.7,billion $/a,16.2
9,biomass billion $ ,10.2,13.3,17.9,19.5,60.8,billion $/a,1.6
10,hydro billion $ ,43.1,72.8,84.0,87.1,287.1,billion $/a,7.4
11,wind billion $ ,28.9,40.3,50.7,54.2,174.0,billion $/a,4.5
12,pv billion $ ,27.5,26.4,28.2,24.9,107.0,billion $/a,2.7
13,geothermal billion $ ,0.0,0.0,0.3,0.4,0.7,billion $/a,0.0
14,solar thermal power plants billion $ ,0.1,0.3,0.3,0.7,1.3,billion $/a,0.0
15,ocean energy billion $ ,0.0,0.0,0.4,0.5,0.9,billion $/a,0.0
16,fossil (w/o chp) billion $ ,176.3,28.3,24.9,114.3,343.7,billion $/a,8.8
17,nuclear billion $ ,13.0,0.0,0.0,0.0,13.0,billion $/a,0.3
18,chp (fossil + renewable) billion $ ,8.3,53.4,118.3,169.0,348.9,billion $/a,8.9
19,renewables (w/o chp) billion $ ,216.2,"1,110.4","1,567.8","1,782.8","4,677.2",billion $/a,119.9
20,total billion $ ,413.8,"1,192.0","1,711.0","2,066.0","5,382.8",billion $/a,138.0
21,conventional (fossil & nuclear) billion $ ,192.1,37.5,34.4,127.6,391.5,billion $/a,10.0
22,renewables billion $ ,221.7,"1,154.6","1,676.6","1,938.4","4,991.3",billion $/a,128.0
23,biomass billion $ ,20.4,41.3,67.0,99.1,227.8,billion $/a,5.8
24,hydro billion $ ,43.1,45.4,21.7,21.5,131.8,billion $/a,3.4
25,wind billion $ ,43.8,478.1,618.3,875.6,"2,015.9",billion $/a,51.7
26,pv billion $ ,111.2,311.6,344.7,393.9,"1,161.4",billion $/a,29.8
27,geothermal billion $ ,0.9,52.5,190.1,177.1,420.6,billion $/a,10.8
28,solar thermal power plants billion $ ,2.2,178.3,368.3,314.7,863.4,billion $/a,22.1
29,ocean energy billion $ ,0.0,47.4,66.6,56.6,170.5,billion $/a,4.4
30,fossil (w/o chp) billion $ ,176.0,26.4,25.3,131.7,359.4,billion $/a,9.2
31,nuclear billion $ ,13.0,0.0,0.0,0.0,13.0,billion $/a,0.3
32,chp (fossil + renewable) billion $ ,8.3,53.4,118.3,168.1,348.0,billion $/a,8.9
33,renewables (w/o chp) billion $ ,232.5,"1,476.8","2,242.7","2,565.2","6,517.1",billion $/a,167.1
34,total billion $ ,429.8,"1,556.6","2,386.3","2,864.9","7,237.5",billion $/a,185.6
35,conventional (fossil & nuclear) billion $ ,191.8,35.5,34.8,137.9,400.1,billion $/a,10.3
36,renewables billion $ ,237.9,"1,521.0","2,351.5","2,727.0","6,837.4",billion $/a,175.3
37,biomass billion $ ,21.3,39.3,75.3,106.7,242.7,billion $/a,6.2
38,hydro billion $ ,43.1,45.4,21.7,21.5,131.8,billion $/a,3.4
39,wind billion $ ,49.8,700.1,"1,011.4","1,377.3","3,138.6",billion $/a,80.5
40,pv billion $ ,117.5,418.6,516.9,560.3,"1,613.2",billion $/a,41.4
41,geothermal billion $ ,2.6,65.1,218.6,195.5,481.8,billion $/a,12.4
42,solar thermal power plants billion $ ,3.5,200.5,433.4,399.6,"1,037.1",billion $/a,26.6
43,ocean energy billion $ ,0.0,52.0,74.2,66.0,192.3,billion $/a,4.9
0,table 13.8.23: india: investments in renewable heat generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,heat pumps billion $ ,0.1,0.2,0.2,0.3,0.8,billion $/a,0.0
3,deep geothermal billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
4,solar thermal billion $ ,3.2,4.0,6.7,8.2,22.1,billion $/a,0.6
5,biomass billion $ ,170.0,54.8,38.0,46.7,309.5,billion $/a,7.9
6,total billion $ ,173.3,59.0,44.9,55.2,332.5,billion $/a,8.5
7,heat pumps billion $ ,1.1,62.9,71.8,134.0,269.9,billion $/a,6.9
8,deep geothermal billion $ ,0.0,25.2,48.5,100.5,174.2,billion $/a,4.5
9,solar thermal billion $ ,5.2,105.5,144.0,173.9,428.5,billion $/a,11.0
10,bomass billion $ ,105.6,26.7,5.5,6.9,144.6,billion $/a,3.7
11,total billion $ ,111.9,220.3,269.8,415.3,"1,017.2",billion $/a,26.1
12,heat pumps billion $ ,1.1,62.9,71.8,131.6,267.4,billion $/a,6.9
13,deep geothermal billion $ ,0.0,25.2,55.8,125.3,206.3,billion $/a,5.3
14,solar thermal billion $ ,5.2,105.2,143.7,192.1,446.1,billion $/a,11.4
15,biomass billion $ ,105.6,26.3,5.4,2.3,139.6,billion $/a,3.6
16,total billion $ ,111.9,219.6,276.6,451.3,"1,059.5",billion $/a,27.2
0,table 13.8.24: india: total employment in the energy sector thousand jobs,2015,2020,2025,2030,2020,2025,2030
1,construction and installation ,"1,226","1,622","1,427","1,204","1,459","2,532","2,283"
2,manufacturing,628,819,719,598,"1,691","2,627","2,395"
3,operations and maintenance,414,560,654,621,780,"1,239","1,625"
4,fuel supply (domestic) ,"2,265","2,323","2,211","1,826","2,304","2,106","1,540"
5,coal and gas export,-,-,-,,-,-,-
6,solar and geothermal heat,20,20,23,22,50,466,733
7,total jobs (thousands) ,"4,554","5,344","5,035","4,271","6,284","8,969","8,576"
8,coal ,"2,252","2,769","2,552","2,324",839,618,384
9,"gas, oil & diesel",224,299,362,343,319,437,357
10,nuclear,84,118,133,120,31,26,18
11,renewable ,"1,993","2,158","1,989","1,483","5,095","7,889","7,817"
12,biomass ,"1,515","1,584","1,433","1,076","1,688","1,659","1,312"
13,hydro,146,204,198,170,204,80,64
14,wind,131,143,142,103,"1,409","2,513","2,662"
15,pv,177,203,189,109,"1,606","2,742","2,365"
16,geothermal power,1.6,1.2,0.9,0.6,25,46,73
17,solar thermal power,3.0,2.6,2.4,1.8,75,287,479
18,ocean,-,-,0.01,1.1,39.0,95.7,128.7
19,solar - heat,19.7,19.4,22.8,22.2,45,382,549
20,geothermal & heat pump,-,0.4,0.3,0.3,5,83,185
21,total jobs (thousands) ,"4,554","5,344","5,035","4,271","6,284","8,969","8,576"
0,table 13.9.22: Other asia: investments in electricity generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,fossil (w/o chp) billion $ ,150.6,205.6,301.3,331.7,989.2,billion $/a,25.4
3,nuclear billion $ ,14.3,8.3,0.0,0.3,22.9,billion $/a,0.6
4,chp (fossil + renewable) billion $ ,8.5,6.5,5.2,4.4,24.5,billion $/a,0.6
5,renewables (w/o chp) billion $ ,132.5,169.3,188.1,246.1,736.0,billion $/a,18.9
6,total billion $ ,305.9,389.7,494.7,582.4,"1,772.7",billion $/a,45.5
7,conventional (fossil & nuclear) billion $ ,173.4,220.4,306.5,336.4,"1,036.6",billion $/a,26.6
8,renewables billion $ ,132.5,169.3,188.1,246.1,736.0,billion $/a,18.9
9,biomass billion $ ,12.2,16.9,22.5,30.2,81.8,billion $/a,2.1
10,hydro billion $ ,78.7,99.3,91.0,107.7,376.7,billion $/a,9.7
11,wind billion $ ,5.5,18.6,32.9,62.0,119.1,billion $/a,3.1
12,pv billion $ ,11.0,12.2,16.6,18.3,57.9,billion $/a,1.5
13,geothermal billion $ ,25.1,21.7,24.6,27.1,98.4,billion $/a,2.5
14,solar thermal power plants billion $ ,0.0,0.6,0.7,0.7,2.1,billion $/a,0.1
15,ocean energy billion $ ,0.0,0.0,0.0,0.0,0.0,billion $/a,0.0
16,fossil (w/o chp) billion $ ,104.9,56.3,91.1,96.1,348.3,billion $/a,8.9
17,nuclear billion $ ,5.3,0.6,0.8,0.0,6.6,billion $/a,0.2
18,chp (fossil + renewable) billion $ ,28.5,58.2,63.9,85.3,235.9,billion $/a,6.0
